date,kart-type,race-type,position,track-name,track-type,condition,kart-type,avg-speed,best-time,avg-time,best-time(TIME),avg-time(TIME)
13/10/2017,fuel,free laps,6 / 8,Dromokart(Buccinasco),indoor,standard,270cc,49,"50,514","58,924",00:50:514,00:58:924
02/04/2018,fuel,free laps,3 / 5,Dromokart(Buccinasco),indoor,standard,270cc,46,"54,459","56,707",00:54:459,00:56:707
22/09/2018,fuel,free laps,1 / 7,Dromokart(Buccinasco),indoor,standard,270cc,51,"49,042","51,609",00:49:042,00:51:609
12/10/2018,fuel,free laps,5 / 6,Dromokart(Buccinasco),indoor,standard,270cc,52,"47,707","49,452",00:47:707,00:49:452
28/11/2018,fuel,free laps,4 / 7,Dromokart(Buccinasco),indoor,standard,270cc,49,"54,416","54,416",00:51:416,00:54:416
29/07/2020,fuel,free laps,4 / 7,Dromokart(Buccinasco),indoor,standard,270cc,45,"55,715","57,196",00:55:715,00:57:196
12/11/2021,fuel,free laps,3 / 13,Dromokart(Buccinasco),indoor,standard,270cc,49,"51,379","52,949",00:51:379,00:52:949
6/11/2022,fuel,free laps,4 / 13,Dromokart(Buccinasco),indoor,standard,270cc,47,"53,495","55,92",00:53:495,00:55:920
14/11/2022,fuel,free laps,3 / 8,Dromokart(Buccinasco),indoor,standard,270cc,48,"52,074","52,915",00:52:074,00:52:915
18/11/2022,fuel,free laps,2 / 4,Dromokart(Buccinasco),indoor,standard,270cc,47,"52,745","55,932",00:52:745,00:55:932
13/02/2023,fuel,free laps,3 / 4,Dromokart(Buccinasco),indoor,standard,270cc,49,"51,056","52,565",00:51:056,00:52:565
22/03/2023,fuel,free laps,2 / 6,Dromokart(Buccinasco),indoor,standard,270cc,48,"51,671","55,267",00:51:671,00:55:267
21/09/2023,fuel,free laps,2 / 7,Dromokart(Buccinasco),indoor,standard,270cc,47,"52,281","54,018",00:52:581,00:54:018
18/10/2023,fuel,free laps,1 / 3,Dromokart(Buccinasco),indoor,standard,270cc,45,"55,215","55,671",00:55:215,00:55:671
02/11/2023,fuel,free laps,3 / 5,Dromokart(Buccinasco),indoor,standard,270cc,45,"55,865","57,166",00:55:865,00:57:166
12/06/2023,electric,free laps,5 / 7,E-Motion(Meda),indoor,standard,-,0,"57,168","65,097",00:57:168,01:05:097
12/06/2023,electric,GP,1 / 7,E-Motion(Meda),indoor,standard,-,0,"51,48","53,481",00:51:480,00:53:481
12/06/2023,electric,GP,1 / 7,E-Motion(Meda),indoor,standard,-,0,"51,16","52,354",00:51:160,00:52:354
17/10/2023,electric,free laps,10 / 10,E-Motion(Meda),indoor,standard,-,0,"51,453","53,473",00:51:453,00:53:473
17/10/2023,electric,GP,4 / 9,E-Motion(Meda),indoor,standard,-,0,"49,504","51,75",00:49:504,00:51:750
14/07/2023,fuel,free laps,9 / 12,BigKart(Rozzano),outdoor,standard,270cc,0,"50,674","52,383",00:50:674,00:52:383
28/02/2024,fuel,free laps,3 / 10,BigKart(Rozzano),outdoor,rain,270cc,0,"64,247","66,589",01:04:247,01:06:589
14/03/2024,fuel,free laps,5 / 9,BigKart(Rozzano),outdoor,standard,270cc,0,"49,347","50,848",00:49:347,00:50:848
08/04/2024,fuel,free laps,1 / 3,BigKart(Rozzano),outdoor,standard,270cc,0,"47,679","48,364",00:47:679,00:48:364
17/04/2024,fuel,free laps,4 / 12,BigKart(Rozzano),outdoor,standard,270cc,0,"47,924","48,917",00:47:921,00:48:917
08/08/2023,fuel,free laps,7 / 9,LignanoCircuit(Lignano),outdoor,standard,270cc,60,"56,892","58,091",00:56:892,00:58:091
08/08/2023,fuel,GP,7 / 9,LignanoCircuit(Lignano),outdoor,standard,270cc,60,"55,261","56,422",00:55:261,00:56:422
22/08/2023,fuel,free laps,1 / 3,SestuGO(Sestu),outdoor,standard,390cc,0,"54,297","54,821",00:54:297,00:54:821
22/08/2023,fuel,GP,1 / 3,SestuGO(Sestu),outdoor,standard,390cc,0,"53,336","54,296",00:53:336,00:54:296
02/03/2024,fuel,free laps,1 / 4,SestuGO(Sestu),outdoor,standard,390cc,0,"51,781","52,401",00:51:781,00:52:401
02/03/2024,fuel,GP,1 / 4,SestuGO(Sestu),outdoor,standard,390cc,0,"51,219","52,049",00:51:219,00:52:401
